s.no,Source,Date,Headline,News_body,Link
11,KRISHI JAGRAN,07-03-2022,"Jute Exports Crossed Rs 3000 Crore per annum, says MC Chakraborty, The Jute Commissioner of India","ICAR-CRIJAF in association with the Directorate of Jute Development (DJD), Ministry of Agriculture and Farmers’ Welfare, GoI organized a one-day National Level Workshop to discuss jute production, marketing and utilization strategies for export promotion and import substitution. ICAR-CRIJAFin association with the Directorate of Jute Development (DJD), Ministry of Agriculture and Farmers’ Welfare, GoI organized a one-day National Level Workshop to discuss jute production, marketing and utilization strategies for export promotion and import substitution. The main objective of this workshop was to discuss the current developments in scientific jute production technology, capacity building and policy initiatives to streamline the marketing and value addition so that the farmers and other stakeholders involved in jute cultivation and marketing get maximum benefit. C. Chakrabortty, Jute Commissioner Chaired the inaugural session in which Dr B. S. Mahapatra, VC, BCKV as the Chief Guest and Dr Gouranga Kar, Director, ICAR-CRIJAF, A. K.",https://krishijagran.com/agriculture-world/jute-exports-crossed-rs-3000-crore-per-annum-says-mc-chakraborty-the-jute-commissioner-of-india/
12,KRISHI JAGRAN,06-05-2026,Farmer Producer Organization and Its Probable Role for Promotion of Jute Production Technology & Jute-Based Micro-Enterprises,"An organization of producers of any produce/product related to farm, non-farm, artisan etc. can be broadly termed as Producer Organization (PO). It is a registered body consisting of primary producers (farmers, milk men, poultry farmers, fishermen, rural artisans, weavers, craftsmen etc.) as its members. It may be registered as a producer company, a cooperative society or any legal group which offers sharing of profits/benefits among its members. The Producer Organization where farmers are the members is calledFarmer Producer Organization(FPO). The idea behind the formation of FPOs was to organize the farmers, the real producers of agricultural products, into groups. The individual small and marginal farmer neither require the quantity of input nor produce the volume of output to get the benefit of economies of scale in production and higher bargaining power. These small and marginal farmers often depend on intermediaries especially for marketing of their produce and receive a smaller portion of consumers’ money.",https://krishijagran.com/featured/farmer-producer-organization-and-its-probable-role-for-promotion-of-jute-production-technology-jute-based-micro-enterprises/
13,KRISHI JAGRAN,04-07-2024,West Bengal's Jute Industry Faces Crisis Amid Slumping Demand and Reduced Production,"The jute industry in West Bengal faces a crisis with reduced demand and surplus production, prompting state government intervention to address job losses and industry slowdown. The jute industry in West Bengal is in dire straits. It is saddled with twin problems of higher production and lower demand for jute bags, particularly for packaging foodgraains. Its annual demand has slumped from 38-39 lakh bales in 2021-22 to an estimated 30 lakh bales in 2024-25, resulting in surplus, and leading to reduction in jobs. According to industry sources, orders for only 3.63 lakh bales have been received for the ongoing Kharif Marketing Season 2024-25. This is in stark contrast to the planned indents of 7.17 lakh bales by June 2024, that is, operating at only 40 to 50 per cent capacity. The problem has been compounded by thesugar industry, which has not fully complied with the mandatory packaging directives. Only 7 per cent of production was packed in jute bags this season, against the mandated 20 percent.",https://krishijagran.com/news/west-bengals-jute-industry-faces-crisis-amid-slumping-demand-and-reduced-production/
14,KRISHI JAGRAN,09-07-2022,Jute Mark India: Pioneering Collective Identity and Quality Assurance for Traditional Jute Products,"The introduction of the Jute Mark India Logo and the launch of the National Jute Development Program mark significant steps toward ensuring the sustainability and growth of the jute sector in India. In a significant move to enhance the authenticity and quality assurance of Jute Products, the Ministry of Textiles introduced theJuteMark India Logo on July 9, 2022. The initiative aims to provide a collective identity for traditional jute and jute diversified products, assuring consumers of their origin and quality. Currently, 55 vendors have registered to avail the Jute Mark India Logo. To further strengthen the jute sector, the Government has approved the National Jute Development Program (NJDP) with a total outlay of Rs 485.58 crore for implementation from 2021-22 to 2025-26. The comprehensive umbrella scheme covers various initiatives for the overall development and promotion of theJute Sector. Improved Cultivation and Advanced Retting Exercise (Jute ICARE): Introduction of scientific methods for jute cultivation and retting exercises. Aims to enhance fiber quality, increase productivity, and reduce the cost of jute production, thereby boosting farmers' income.",https://krishijagran.com/news/jute-mark-india-pioneering-collective-identity-and-quality-assurance-for-traditional-jute-products/
15,KRISHI JAGRAN,06-05-2026,Popularizing Jute Production Technology & Enterprises Through Non-government Organization: Scope & Prospect,"A Non-government organization (NGO) is any non-profit, voluntary citizens' group/ organization which is formed on local, regional, national or international level and independent of government involvement though it may receive government funding. This also includes clubs and associations that provide services to their members and others. NGOs are mainly involved in humanitarian and social works. They are task-oriented and driven by the people’s need with a common interest. NGOs can act as a useful platform to advocate and monitor government policies and encourage people’s participation in developmental works. NGOs are classified by the type of activities it undertakes and its level of operation: local, regional, national, or international.The sectors in which the NGOs are working in varying degrees include the areas like agriculture, animal husbandry, dairying & fisheries, biotechnology, differently abled, aged/elderly, environment & forests, micro-finance (SHGs), micro, small and medium enterprises, new & renewable energy, rural development & poverty alleviation, scientific & industrial research, vocational training, women’s development & empowerment and youth affairs. In India, there are 102218 enrolled NGOs in the form of Private Sector Company, Registered Society, Trust, Academic institution etc. The jute producing states like West Bengal, Bihar, Assam, Odisha, Meghalaya and Tripura are having 7784, 3438, 1784, 3091, 228 and 393 enrolled NGOs, respectively.",https://krishijagran.com/featured/popularizing-jute-production-technology-enterprises-through-non-government-organization-scope-prospect/
16,KRISHI JAGRAN,27-08-2024,List of India's Agro-Climatic Zones: A Comprehensive Overview,"This detailed breakdown of India's agro-climatic zones empowers farmers to make informed choices about crop selection and management for sustainable agriculture. They can benefit from this in-depth analysis to tailor their farming practices and maximize yields. India’s diverse climatic and geographical conditions create a variety of agro-climatic zones, each with unique features that influence local agriculture. Understanding these zones is essential for optimizing crop production and managing resources effectively. This blog provides an in-depth look into each zone, categorized by temperature, rainfall, crops grown, and location. Temperature:Summer temperatures range from 5°C to 30°C in July. Winter brings severe cold, with temperatures dropping to between 0°C and -4°C in January. Rainfall:Annual rainfall varies between 1,000 to 2,000 mm, with significant differences depending on altitude and orientation.",https://krishijagran.com/explainers/indias-agro-climatic-zones-a-comprehensive-overview/
17,KRISHI JAGRAN,29-09-2021,Five Indigenous Crops That Are Disappearing From Indian Farm,"Many indigenous, high-nutrition crop varieties are vanishing across India for a number of causes, ranging from falling demand to production difficulties. Agro-biodiversity suffers significantly when crops disappear. Several indigenous crops are disappearing in India's south, central, east, and north-east regions. Some are being phased out of community usage due to monoculture cultivation's dominance, while others are being phased out due to hybrid varieties' popularity. Also to blame is the government's lack of support for indigenous types. When particular crop types become extinct, so does the mini-ecosystem of insects, animals, birds, and plants that they support. Location: Gaurela-Pendra-Marwahi district of Chhattisgarh Reasons for the fall include the government's promotion of hybrid paddy, low yields, and the lack of aminimum support price(MSP). The Gonds cultivated thisblack ricetype, which has a blackish husk and pink rice.",https://krishijagran.com/news/five-indigenous-crops-that-are-disappearing-from-indian-farm/
18,KRISHI JAGRAN,07-02-2025,World Pulses Day: How Growing Pulses on Rice Fallow Lands Can Boost Your Farm’s Income and Soil Health,"Pulses are crucial for India’s protein needs, with high nutritional value. Despite challenges like soil fertility and climate, advancements in varieties and expanding cultivation on rice fallows offer potential for growth and sustainability. World Pulses Day, observed annually on February 10th, highlights the immense nutritional and environmental benefits of pulses. As a powerhouse of protein, pulses are a crucial component of India’s predominantly vegetarian diet, complementing staple cereals with a rich array of essential nutrients. With a protein content of 22–24%, they provide nearly twice the protein of wheat and three times that of rice. Beyond nutrition, pulses contribute to overall health by reducing the risk of non-communicable diseases like heart disease and colon cancer. Their sustainability factor extends even further—pulse residues from processing make for excellent animal feed, ensuring a circular, eco-friendly food system. Pulses were traditionally grown in rain-fed situations with less irrigation.",https://krishijagran.com/blog/world-pulses-day-how-growing-pulses-on-rice-fallow-lands-can-boost-your-farm-s-income-and-soil-health/
19,KRISHI JAGRAN,18-07-2025,Agrivoltaics: Dual Harvest of Solar Energy and Crops for Arid Region Farmers,"Agrivoltaics combines crop cultivation and solar energy on the same land, offering a sustainable solution for arid regions like Rajasthan. It conserves water, protects crops from extreme heat, reduces energy costs, and boosts farmers’ income making it a climate-smart approach to farming in dry areas. Farming in the arid regions of western India, like Rajasthan, is never easy. The weather is harsh, rainfall is scarce, and groundwater lies deep and is difficult to pump. Farmers often work under extreme temperatures, sometimes above 45°C, with limited access to irrigation or modern technology. As a result, crop yields remain low, income is uncertain, and land remains underused or degraded. In such a challenging environment, agrivoltaics has come up as a smart solution. This approach lets farmers grow crops while also installing solar panels on their land.",https://krishijagran.com/agripedia/agrivoltaics-dual-harvest-of-solar-energy-and-crops-for-arid-region-farmers/
20,KRISHI JAGRAN,06-05-2026,Crop Calendar,"A crop calendar or an Agricultural Calendar is an essential part of a farmer's knowledge base toolkit. A Crop Calendar helps a farmer to identify the crop lifecycle, management, and practices of the crop he's going to grow. Here's your crop calendar that you can rely on to decide your next crop to grow. The cotton plant is a warm season woody perennial shrub, which is grown as an annual field crop because these plants grow in different environments. This plant grows in various environments farmers can get options from varieties of options that are bred to be productive in various environmental and cultural traditions.… Cowpea is one of the most important food legume crop of Asia, Africa, southern Europe and south America. It is normally warm season crop. There are different uses of this crop. It is considered as crop of African origin.",https://krishijagran.com/crop-calendar/
21,KRISHI JAGRAN,06-05-2026,Pulses Production Sustainability And its Role in Human Nutrition,"In India, pulses are used as an important source of nutrition. Besides, nutritive values it also serves as an source of income for millions of farmers around the world. However, pulses consumption has seen slow but steady decline in both developed and developing countries. At global level, pulses consumption has seen no major changes in comparison with dairy and meat products in per capita consumption, which is low at 7kg/person/year. Despite low consumption, in many countries including India, the population growth rate exceeds farm output,i.e.farmers are not so much capable to grow enough pulses to keep up with increased demand and are forced to import pulses. According to FAO, the Green Revolution led to massive gains in yield and production of many basic foodstuffs. Pulses expanded only 55% while other crops such as maize, wheat, rice and soy had gain cumulative production between 1960 and. Pulses are climate resilient and can be sown in rain-fed areas.",https://krishijagran.com/featured/pulses-production-sustainability-and-its-role-in-human-nutrition/
22,KRISHI JAGRAN,26-09-2019,ICAR Organizes Scientist Field Day on Performance of Pulses,"The ICAR-Central Arid Zone Research Institute, Jodhpur organized the Scientist Field Day on National Germplasm Performance of Mung Bean and Moth Bean. The performance evaluation is a part of Department of Bio Technology’s funded Network Project on “Genetic Improvement of Minor Pulses”. The ICAR-Central Arid Zone Research Institute, Jodhpur organized the Scientist Field Day on National Germplasm Performance of Mung Bean and Moth Bean. The performance evaluation is a part of Department of Bio Technology’s funded Network Project on “Genetic Improvement of Minor Pulses”. Dr. Praveen Kumar, Director (Acting), ICAR-CAZRI highlighted the importance of both pulses for the arid regions of the country. He emphasized on the usefulness of germplasm evaluation to strengthen the on-going national genetic improvement programmes of the crop. The participants were provided the exposure to the performance of 4,100 accessions of Mung Bean and 1,545 accessions of Moth Bean.",https://krishijagran.com/agriculture-world/icar-organizes-scientist-field-day-on-performance-of-pulses/
23,KRISHI JAGRAN,06-05-2026,Moth Bean Cultivation,"Moth bean is a native crop of hot and dry habitats of northern and western parts of India. These very adjusting abilities have rendered this crop as an indispensable component of cropping system prevailing in dry regions. Origin-Arid and semi -arid regions of India It is a creeping annual plant and it belongs to the Fabaceae Family. It is also known as Mat bean, Moth bean, Matki, and dew bean. The moth bean crop consists of pods, sprouts and protein rich seeds are mainly consumed in India. It is rich in iron, calcium, manganese, zinc, potassium, magnesium and vitamin B9. The seeds of this crop contain 22-24% of protein. It is identified as a most remarkable food source in future because it is unaffected by drought and have a ability to encounter soil erosion.",https://krishijagran.com/crop-calendar/moth-bean-cultivation/
24,KRISHI JAGRAN,21-09-2021,Manipur’s Tamenglong Oranges and Hathei Chilli Get GI Tag,"Tamenglong oranges, a kind of mandarin, and Hathei, a chilli variation, are given GI tag. The Tamenglong orange, a species of the mandarin family, and Hathei, a chilli variation, have been granted Geographical Indication (GI) status by the government. Chief Minister Nongthombam Biren Singh confirmed this in a tweet on Friday, writing: “What a great start to the day for Manipur!” I'm happy to share that two (two) Manipur products, Hathei Chilly and Tamenglong Orange, have been given the GI tag.” “This is a defining moment in Manipur's history, and it will significantly boost farmer income,” he added. In 2019, the Manipur Organic Mission Agency (Moma) applied for Geographical Indication (GI) tags for the Tamenglong orange and the Sirarakhong Hathei chilli. The GI certifications would be provided soon, according to Moma project director K Debdutta Sharma. Tamenglong oranges are grown in Tamenglong district, which accounts for more than half of Manipur's yearly orange production. It is well-known for its sweetness and acidity. J&K's Gucchi is an heirloom crop that retails for over 20,000 a kg.",https://krishijagran.com/agriculture-world/manipur-s-tamenglong-oranges-and-hathei-chilli-get-gi-tag/
25,KRISHI JAGRAN,17-03-2021,Maharashtra to Open Citrus Estate & Orange Processing Center in the State,"Maharashtra government plans to set up orange processing center and citrus estate in the state. Soon, Maharashtra state would take pride in talking about its orange processing center and a citrus estate, if the Maharashtra government successfully implements its plans for the same. The processing center is proposed forVarud-Morshiin Amravati district and the citrus estate is proposed forPaithanin Aurangabad district. The purpose for both is to increase productivity ofcitrus fruitsin the state. The plans were announced by the state’s Finance Minister Ajit Pawar in his March 8 budget speech. Maharashtra produces Mandarin variety of oranges, particularly in Nagpur and Amravati districts of the Vidarbha region. Mandarin orange has a distinct outer skin, which is easy to peel. This makes it an ideal table fruit.",https://krishijagran.com/agriculture-world/maharashtra-to-open-citrus-estate-orange-processing-center-in-the-state/
26,KRISHI JAGRAN,03-05-2024,National Orange Juice Day: Quench Your Thirst this Summer with this Tasty Beverage,"Celebrated worldwide on May 4, here’s a toast to the National Orange Juice Day. Originating from the iconic orange trees in Florida, it's now the official beverage of the state. Imagine starting your morning with a glass of fresh orange juice. The fruity flavor, sweetness, and refreshing sensation - they all possess the magical ability to transform your day into the most beautiful one. Besides that, the juice offers significant health benefits, packed with antioxidants and essential nutrients like vitamin C, folate, and potassium. It also promotes improved heart health, reduces inflammation, and lowers the risk of kidney stones. To embrace the beauty and goodness of this fruity beverage, National Orange Juice Day is celebrated on May 4 every year.Read On. In 1900, Florida citrus growers recognized the delicious taste of freshly squeezed orange juice, selling it alongside whole fruit and promoting it through advertising.",https://krishijagran.com/news/national-orange-juice-day-quench-your-thirst-this-summer-with-this-tasty-beverage/
27,KRISHI JAGRAN,06-05-2026,Coorg Orange; the pride of Kodagu,"The origin of Coorg oranges is not clearly known, although it is believed to be introduced from Central India about 300 years ago. Coorg orange is classed under mandarin group (Citrus reticulata) and is also popularly known as Santras in India. They are also referred to as loose jacket oranges. Coorg orange, Nagpur orange, Khasi orange, Rangtra, Kamala, Sikkim orange, Yemmedoddi orange are all strains of mandarin and each of them are known for their juiciness, taste, and quality. Coorg orange is highly nutritious, sweet, and delicious, possessing good medicinal value too. Coorg orange has got its own special taste and flavor with well-blended sugar and acid contents. Coorg orange and other mandarin oranges that are grown in various coffee zones are prized in the market because of their attractive golden tinge, easiness to peel, high palatability, less seediness, a perfect blend of acid, and sweetness. Though Coorg orange was introduced to the district about 300 years early the cultivation was promoted by the British.",https://krishijagran.com/featured/coorg-orange-the-pride-of-kodagu/
28,KRISHI JAGRAN,30-12-2023,Darjeeling Orange Farmers Face Crisis Amidst Tax Hurdles and Market Floods,"The winds of change have swept through North Bengal in recent years, altering the agricultural landscape that once thrived on the abundant production of oranges in Darjeeling, Kurseong, and Kalimpong. TheDarjeelingorange is in a dilemma. Traders in Siliguri, central to the fruit trade, are experiencing significant losses due to a sharp decline in production.With production diminishing to a mere 20%, the future of this iconic fruit, remains uncertain, raising concerns about its continued existence. Every year from November to January, North Bengal witnessed a bustling trade inoranges, contributing crores of rupees to the regional economy. The Regulated Market in Siliguri, the largest wholesale market in the Northeast and nestled in the Darjeeling district of West Bengal, became the focal point for traders nationwide. Enthusiastically, traders gathered at this market hub, eagerly securing stocks of the seasonal fruit in abundance. The vibrant commerce not only fueled economic growth but also turned the region into a hotspot for the orange trade, attracting traders from various corners of the country. When we speak about Darjeeling, the next thing that comes to our mind is Darjeeling tea.",https://krishijagran.com/news/darjeeling-orange-farmers-face-crisis-amidst-tax-hurdles-and-market-floods/
29,KRISHI JAGRAN,02-12-2022,Oranges from Lower Dibang Valley of Arunachal Pradesh Reach UAE,"Oranges from Arunachal Pradesh's Lower Dibang Valley district have made their way to a UAE hypermarket chain for the first time, according to a statement. State government officials, including agriculture production commissioner and secretary Bidol Tayeng and Arunachal Pradesh Agriculture Marketing Board (APAMB) CEO Okit Palling, were on hand to witness the launch of organic oranges from Dambuk in Lower Dibang Valley district for sale at Lulu Group hypermarkets. According to the official statement, Lulu Hypermarket regional director KP Thamban and purchase manager at Lulu Group International Santosh attended the event in Dubai on Thursday. Lulu Group regional director KP Thamban praised APAMB's efforts and stated that various otherorganic productsfrom the state may be available in UAE stores in the near future. Speaking at the event, Tayeng praised the APAMB and Lulu for their collaborative efforts in successfully organizing the programme. Orange juice and lemon juice are both nutritionally equivalent. Read more to know which one is healthier!… Palling also stated that Arunachal Pradesh's agriculture andhorticulture products, such as pumpkin, pineapple, ginger, turmeric, and large cardamom, are of ""excellent quality,"" but exporting them has been difficult due to logistical constraints. He thanked Chief Minister Pema Khandu and Agriculture Minister Tage Taki for facilitating the orange export.",https://krishijagran.com/agriculture-world/oranges-from-lower-dibang-valley-of-arunachal-pradesh-reach-uae/
